Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
E2JKY7	LPMG_ECOLI	mgtA leader peptide (Regulatory leader peptide for mgtA)	mgtL b4702 JW4200.1		mgtL	2,123	response to magnesium ion [GO:0032026]; transcriptional attenuation by ribosome [GO:0031556]		response to magnesium ion [GO:0032026]; transcriptional attenuation by ribosome [GO:0031556]		GO:0031556; GO:0032026		
P0ADV9	LPTC_ECOLI	Lipopolysaccharide export system protein LptC	lptC yrbK b3199 JW3166	yrbK	lptC	21,703	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide transport [GO:0015920]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; transporter complex [GO:1990351]	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; transporter complex [GO:1990351]; glycolipid transfer activity [GO:0017089]; identical protein binding [GO:0042802]; lipopolysaccharide transmembrane transporter activity [GO:0015221]; Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide transport [GO:0015920]	glycolipid transfer activity [GO:0017089]; identical protein binding [GO:0042802]; lipopolysaccharide transmembrane transporter activity [GO:0015221]	GO:0005886; GO:0005887; GO:0015221; GO:0015920; GO:0016021; GO:0017089; GO:0030288; GO:0042802; GO:0043165; GO:1990351	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01915, ECO:0000269|PubMed:18424520, ECO:0000269|PubMed:20720015}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01915, ECO:0000269|PubMed:18424520, ECO:0000269|PubMed:20720015}.	
P69212	MDTJ_ECOLI	Spermidine export protein MdtJ	mdtJ ydgF b1600 JW1592	ydgF	mdtJ	13,115	choline transport [GO:0015871]; glycine betaine transport [GO:0031460]; spermidine transmembrane transport [GO:1903711]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; amino-acid betaine transmembrane transporter activity [GO:0015199]; antiporter activity [GO:0015297]; choline transmembrane transporter activity [GO:0015220]; spermidine transmembrane transporter activity [GO:0015606]; transmembrane transporter activity [GO:0022857]; choline transport [GO:0015871]; glycine betaine transport [GO:0031460]; spermidine transmembrane transport [GO:1903711]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	amino-acid betaine transmembrane transporter activity [GO:0015199]; antiporter activity [GO:0015297]; choline transmembrane transporter activity [GO:0015220]; spermidine transmembrane transporter activity [GO:0015606]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0005887; GO:0015199; GO:0015220; GO:0015297; GO:0015606; GO:0015871; GO:0022857; GO:0031460; GO:0055085; GO:1903711; GO:1990961	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P39411	NCPP_ECOLI	Inosine/xanthosine triphosphatase (ITPase/XTPase) (EC 3.6.1.73) (Non-canonical purine NTP phosphatase) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase) (NTPase)	yjjX b4394 JW5801		yjjX	18,213	nucleotide metabolic process [GO:0009117]; response to antibiotic [GO:0046677]; thiamine metabolic process [GO:0006772]		ITPase activity [GO:0103023]; metal ion binding [GO:0046872]; nucleoside-triphosphatase activity [GO:0017111]; nucleotide binding [GO:0000166]; nucleotide metabolic process [GO:0009117]; response to antibiotic [GO:0046677]; thiamine metabolic process [GO:0006772]	ITPase activity [GO:0103023]; metal ion binding [GO:0046872]; nucleoside-triphosphatase activity [GO:0017111]; nucleotide binding [GO:0000166]	GO:0000166; GO:0006772; GO:0009117; GO:0017111; GO:0046677; GO:0046872; GO:0103023		
P08337	MUTT_ECOLI	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	mutT b0099 JW0097		mutT	14,927	DNA repair [GO:0006281]; DNA replication [GO:0006260]		8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; 8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; 8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]	GO:0000287; GO:0006260; GO:0006281; GO:0008413; GO:0030145; GO:0035539; GO:0044715; GO:0044716		
P11349	NARH_ECOLI	Respiratory nitrate reductase 1 beta chain (EC 1.7.5.1) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)	narH b1225 JW1216		narH	58,066	anaerobic respiration [GO:0009061]; nitrate assimilation [GO:0042128]; nitrate metabolic process [GO:0042126]	intrinsic component of membrane [GO:0031224]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; membrane [GO:0016020]; NarGHI complex [GO:0044799]	intrinsic component of membrane [GO:0031224]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; membrane [GO:0016020]; NarGHI complex [GO:0044799]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; nitrate reductase activity [GO:0008940]; anaerobic respiration [GO:0009061]; nitrate assimilation [GO:0042128]; nitrate metabolic process [GO:0042126]	3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; nitrate reductase activity [GO:0008940]	GO:0008940; GO:0009055; GO:0009061; GO:0016020; GO:0031224; GO:0031235; GO:0042126; GO:0042128; GO:0044799; GO:0046872; GO:0051538; GO:0051539	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein.	
P18843	NADE_ECOLI	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein)	nadE efg ntrL b1740 JW1729	efg ntrL	nadE	30,637	'de novo' NAD biosynthetic process from aspartate [GO:0034628]; cellular response to DNA damage stimulus [GO:0006974]; NAD biosynthetic process [GO:0009435]; NAD salvage [GO:0034355]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; 'de novo' NAD biosynthetic process from aspartate [GO:0034628]; cellular response to DNA damage stimulus [GO:0006974]; NAD biosynthetic process [GO:0009435]; NAD salvage [GO:0034355]	ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]	GO:0003952; GO:0004359; GO:0005524; GO:0005737; GO:0005829; GO:0006974; GO:0008795; GO:0009435; GO:0034355; GO:0034628; GO:0046872		
P75960	NPD_ECOLI	NAD-dependent protein deacylase (EC 2.3.1.286) (Regulatory protein SIR2 homolog)	cobB ycfY b1120 JW1106	ycfY	cobB	31,464	chemotaxis [GO:0006935]; defense response to virus [GO:0051607]; peptidyl-lysine deacetylation [GO:0034983]; peptidyl-lysine demalonylation [GO:0036047]; peptidyl-lysine desuccinylation [GO:0036049]; protein deglutarylation [GO:0061698]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+ binding [GO:0070403]; NAD-dependent protein deacetylase activity [GO:0034979]; protein-glutaryllysine deglutarylase activity [GO:0061697]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]; zinc ion binding [GO:0008270]; chemotaxis [GO:0006935]; defense response to virus [GO:0051607]; peptidyl-lysine deacetylation [GO:0034983]; peptidyl-lysine demalonylation [GO:0036047]; peptidyl-lysine desuccinylation [GO:0036049]; protein deglutarylation [GO:0061698]	NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+ binding [GO:0070403]; NAD-dependent protein deacetylase activity [GO:0034979]; protein-glutaryllysine deglutarylase activity [GO:0061697]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]; zinc ion binding [GO:0008270]	GO:0003950; GO:0005737; GO:0006935; GO:0008270; GO:0034979; GO:0034983; GO:0036047; GO:0036049; GO:0036054; GO:0036055; GO:0051607; GO:0061697; GO:0061698; GO:0070403	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01121}.	
P77788	NUDG_ECOLI	CTP pyrophosphohydrolase (EC 3.6.1.65)	nudG ynjG b1759 JW1748	ynjG	nudG	15,046	DNA repair [GO:0006281]		8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; 8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; dCTP diphosphatase activity [GO:0047840]; hydrolase activity [GO:0016787]; DNA repair [GO:0006281]	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; 8-oxo-dGDP phosphatase activity [GO:0044715]; 8-oxo-GDP phosphatase activity [GO:0044716]; dCTP diphosphatase activity [GO:0047840]; hydrolase activity [GO:0016787]	GO:0006281; GO:0008413; GO:0016787; GO:0035539; GO:0044715; GO:0044716; GO:0047840		
P0AA16	OMPR_ECOLI	DNA-binding dual transcriptional regulator OmpR (Transcriptional regulatory protein OmpR)	ompR kmt ompB b3405 JW3368	kmt ompB	ompR	27,354	phosphorelay signal transduction system [GO:0000160]; positive regulation of transcription, DNA-templated [GO:0045893]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; phosphorelay signal transduction system [GO:0000160]; positive regulation of transcription, DNA-templated [GO:0045893]	DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000156; GO:0000160; GO:0000976; GO:0001216; GO:0005829; GO:0032993; GO:0045893	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:3533941}.	
P33136	OPGG_ECOLI	Glucans biosynthesis protein G	mdoG opgG b1048 JW1035	opgG	mdoG	57,912	beta-glucan biosynthetic process [GO:0051274]; response to osmotic stress [GO:0006970]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]; catalytic activity [GO:0003824]; beta-glucan biosynthetic process [GO:0051274]; response to osmotic stress [GO:0006970]	carbohydrate binding [GO:0030246]; catalytic activity [GO:0003824]	GO:0003824; GO:0006970; GO:0030246; GO:0030288; GO:0051274	SUBCELLULAR LOCATION: Periplasm.	
P0C0L2	OSMC_ECOLI	Peroxiredoxin OsmC (EC 1.11.1.-) (Osmotically-inducible protein C)	osmC b1482 JW1477		osmC	15,088	hyperosmotic response [GO:0006972]; response to hydroperoxide [GO:0033194]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]	cytosol [GO:0005829]; peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]; hyperosmotic response [GO:0006972]; response to hydroperoxide [GO:0033194]; response to oxidative stress [GO:0006979]	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]	GO:0004601; GO:0005829; GO:0006972; GO:0006979; GO:0033194; GO:0051920	SUBCELLULAR LOCATION: Cytoplasm.	
P0AFD6	NUOI_ECOLI	NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I) (NUO9)	nuoI b2281 JW2276		nuoI	20,538	aerobic respiration [GO:0009060]	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; plasma membrane respiratory chain complex I [GO:0045272]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (quinone) activity [GO:0050136]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (quinone) activity [GO:0050136]; quinone binding [GO:0048038]	GO:0005506; GO:0005886; GO:0009060; GO:0030964; GO:0045272; GO:0048038; GO:0050136; GO:0051539	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	
P31677	OTSA_ECOLI	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA) (UDP-glucose-glucosephosphate glucosyltransferase)	otsA b1896 JW5312		otsA	53,611	cellular response to DNA damage stimulus [GO:0006974]; response to osmotic stress [GO:0006970]; trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to cold stress [GO:0070415]	cytosol [GO:0005829]	cytosol [GO:0005829]; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; cellular response to DNA damage stimulus [GO:0006974]; response to osmotic stress [GO:0006970]; trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to cold stress [GO:0070415]	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]	GO:0003825; GO:0005829; GO:0005992; GO:0006970; GO:0006974; GO:0070415		
P16687	PHNI_ECOLI	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI (RPnTP synthase subunit PhnI) (EC 2.7.8.37) (Ribose 1-methylphosphonate 5-triphosphate synthase nucleosidase subunit)	phnI b4099 JW4060		phnI	38,853	organic phosphonate catabolic process [GO:0019700]	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex [GO:0061694]; carbon phosphorus lyase complex [GO:1904176]	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex [GO:0061694]; carbon phosphorus lyase complex [GO:1904176]; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity [GO:0061693]; organic phosphonate catabolic process [GO:0019700]	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity [GO:0061693]	GO:0019700; GO:0061693; GO:0061694; GO:1904176		
P76114	MCBR_ECOLI	HTH-type transcriptional regulator McbR	mcbR yncC b1450 JW1445	yncC	mcbR	25,151	negative regulation of transcription, DNA-templated [GO:0045892]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0045892		
P08997	MASY_ECOLI	Malate synthase A (MSA) (EC 2.3.3.9)	aceB mas b4014 JW3974	mas	aceB	60,274	glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; malate synthase activity [GO:0004474]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	malate synthase activity [GO:0004474]	GO:0004474; GO:0005737; GO:0006097; GO:0006099	SUBCELLULAR LOCATION: Cytoplasm.	
P22523	MUKB_ECOLI	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)	mukB b0924 JW0907		mukB	170,230	cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062]	condensin complex [GO:0000796]; cytosol [GO:0005829]; nucleoid [GO:0009295]	condensin complex [GO:0000796]; cytosol [GO:0005829]; nucleoid [GO:0009295]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]	GO:0000796; GO:0003677; GO:0005524; GO:0005525; GO:0005829; GO:0006260; GO:0007059; GO:0007062; GO:0009295; GO:0030261; GO:0042802; GO:0051301	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:11886550, ECO:0000269|PubMed:22380631}. Note=Restricted to the nucleoid region, far from the cell poles.	
P10902	NADB_ECOLI	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B)	nadB nicB b2574 JW2558	nicB	nadB	60,337	'de novo' NAD biosynthetic process from aspartate [GO:0034628]	cytosol [GO:0005829]	cytosol [GO:0005829]; flavin adenine dinucleotide binding [GO:0050660]; L-aspartate oxidase activity [GO:0008734]; L-aspartate:fumarate oxidoreductase activity [GO:0044318]; 'de novo' NAD biosynthetic process from aspartate [GO:0034628]	flavin adenine dinucleotide binding [GO:0050660]; L-aspartate:fumarate oxidoreductase activity [GO:0044318]; L-aspartate oxidase activity [GO:0008734]	GO:0005829; GO:0008734; GO:0034628; GO:0044318; GO:0050660	SUBCELLULAR LOCATION: Cytoplasm.	
